,Tag,NewName,Address,Format,ModbusAddress,Comment,InitalValue,Signed,TextTagSize,Minimum,Maximum,Resolution,Group,Presentation,WriteAllowed,DisplayFormat
704,HS_107FST,HS_107FST,DIV00407,DIGITAL,1531,CHAMBER 1 MOTHER/FLOWER FORCE SUNSET,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
710,KM_168_ULI,KM_168_ULI,DIV00408,DIGITAL,1532,CHAMBER 1 MOTHER/FLOWER UPDATE LIGHT INTENSITY,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
714,HS_107SR_EVT,HS_107SR_EVT,DIV00409,DIGITAL,1533,CHAMBER 1 MOTHER/FLOWER SUNRISE EVENT,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
715,KM_168_FLI,KM_168_FLI,DIV00410,DIGITAL,1534,CHAMBER 1 MOTHER/FLOWER FORCE LIGHT INTENSITY,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
718,KV_169_FLI,KV_169_FLI,DIV00411,DIGITAL,1535,CHAMBER 1 VEG FORCE LIGHT INTENSITY,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
721,KV_169_ULI,KV_169_ULI,DIV00412,DIGITAL,1536,CHAMBER 1 VEG UPDATE LIGHT INTENSITY,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
724,HS_108FSR,HS_108FSR,DIV00413,DIGITAL,1537,CHAMBER 1 VEG  FORCE SUNRISE,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
725,HS_108FST,HS_108FST,DIV00414,DIGITAL,1538,CHAMBER 1 VEG FORCE SUNSET,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
726,HS_108LON_EVT,HS_108LON_EVT,DIV00415,DIGITAL,1539,CHAMBER 1 VEG LIGHT ON EVENT,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
727,HS_108SR_EVT,HS_108SR_EVT,DIV00416,DIGITAL,1540,CHAMBER 1 VEG SUNRISE EVENT,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
728,HS_108SS_EVT,HS_108SS_EVT,DIV00417,DIGITAL,1541,CHAMBER 1 VEG SUNSET EVENT,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
729,HS_115FSR,HS_115FSR,DIV00418,DIGITAL,1542,CHAMBER 1 CLONE FORCE SUNRISE,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
730,HS_115FST,HS_115FST,DIV00419,DIGITAL,1543,CHAMBER 1 CLONE FORCE SUNSET,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
731,HS_115LON_EVT,HS_115LON_EVT,DIV00420,DIGITAL,1544,CHAMBER 1 CLONE LIGHT ON EVENT,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
732,HS_115SR_EVT,HS_115SR_EVT,DIV00421,DIGITAL,1545,CHAMBER 1 CLONE SUNRISE EVENT,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
733,HS_115SS_EVT,HS_115SS_EVT,DIV00422,DIGITAL,1546,CHAMBER 1 CLONE SUNSET EVENT,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
736,KC_170_FLI,KC_170_FLI,DIV00423,DIGITAL,1547,CHAMBER 1 CLONE FORCE LIGHT INTENSITY,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
740,KC_170_ULI,KC_170_ULI,DIV00424,DIGITAL,1548,CHAMBER 1 CLONE UPDATE LIGHT INTENSITY,,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
744,IS_DAY,IS_DAY,DIV00426,DIGITAL,1549,"CHAMBER 1 DAY FLAG (=1 DAYTIME,0=NIGHTTIME)",,False,,,,,CHAMBER 1\LOCALS,False,False,DECIMAL
527,LI_101_SP,LI_101_SP,AIV00319,FLOAT,1600,CHAMBER 1 RESERVOIR FILL SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
528,XY_124LDB,XY_124LDB,AIV00318,FLOAT,1602,CHAMBER1 R/O WATER CTRL LOW DEADBAND,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
546,PAL101_ALM_LVL,PAL101_ALM_LVL,AIV00340,FLOAT,1604,CHAMBER1NUTRIENT FEED HI PRESSURE ALM HI SP (psi),,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
559,AT_106_SP,AT_106_SP,AIV00133,FLOAT,1606,CHAMBER 1 NUTRIENT TANK pH SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
608,MT_101AVG,MT_101AVG,AIV00327,FLOAT,1608,CHAMBER 1 VEG HUMIDITY AVERAGE,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
609,MT_103AVG,MT_103AVG,AIV00328,FLOAT,1610,CHAMBER 1 MOTHER HUMIDITY AVERAGE,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
647,PDA101_ALM_LVL,PDA101_ALM_LVL,AIV00350,FLOAT,1612,CHAMBER 1 FILTER PRESSURE DIFFERENTIAL ALM LIMIT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
661,TIC_109_NSP,TIC_109_NSP,AIV00351,FLOAT,1614,CHAMBER 1 COOLING NIGHT SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
663,TIC_109_DSP,TIC_109_DSP,AIV00352,FLOAT,1616,CHAMBER 1 COOLING DAY SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
664,TIC_110_NSP,TIC_110_NSP,AIV00353,FLOAT,1618,CHAMBER 1 HEATING NIGHT SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
665,TIC_110_DSP,TIC_110_DSP,AIV00354,FLOAT,1620,CHAMBER 1 HEATING DAY SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
666,HIC_103_NSP,HIC_103_NSP,AIV00355,FLOAT,1622,CHAMBER 1 DEHUMIDIFIER NIGHT SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
667,HIC_103_DSP,HIC_103_DSP,AIV00356,FLOAT,1624,CHAMBER 1 DEHUMIDIFIER DAY SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
668,HIC_104_NSP,HIC_104_NSP,AIV00357,FLOAT,1626,CHAMBER 1 HUMIDIFIER NIGHT SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
669,HIC_104_DSP,HIC_104_DSP,AIV00358,FLOAT,1628,CHAMBER 1 HUMIDIFIER DAY SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
677,XIC_125_SP,XIC_125_SP,AIV00138,FLOAT,1630,CHAMBER 1 CO2 CONTROLLER SETPOINT,,True,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
530,HS_150HOA,HS_150HOA,AIV00317,16BITS,1700,CHAMBER 1 R/O WATER FILL - HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
531,HS_151HOA,HS_151HOA,AIV00320,16BITS,1701,CHAMBER 1 RECIRCULATION - HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
532,HS_152HOA,HS_152HOA,AIV00321,16BITS,1702,CHAMBER 1 FEED MOTHER - HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
533,HS_153HOA,HS_153HOA,AIV00322,16BITS,1703,CHAMBER 1 DRAIN - HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
534,HS_155HOA,HS_155HOA,AIV00323,16BITS,1704,CHAMBER 1 FILL CHEMICAL - HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
535,HS_156HOA,HS_156HOA,AIV00324,16BITS,1705,CHAMBER 1 ADJUST PH - HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
536,HS_157HOA,HS_157HOA,AIV00325,16BITS,1706,CHAMBER 1 FEED VEG - HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
538,XY_104OCA,XY_104OCA,AIV00326,16BITS,1707,CHAMBER 1 FEED MOTHER VLV - OCA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
529,XY_110OCA,XY_110OCA,AIV00316,16BITS,1708,CHAMBER 1 NUTRIENT RECIRC VLV - OCA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
678,KX_125_ONH,KX_125_ONH,AIV00329,16BITS,1709,CHAMBER 1 CO2 ON HR,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
679,KX_125_OFH,KX_125_OFH,AIV00330,16BITS,1710,CHAMBER 1 CO2 OFF HR,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
680,KX_125_ONM,KX_125_ONM,AIV00331,16BITS,1711,CHAMBER 1 CO2 ON MIN,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
681,KX_125_OFM,KX_125_OFM,AIV00332,16BITS,1712,CHAMBER 1 CO2 OFF MIN,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
682,KX_125_ONAP,KX_125_ONAP,AIV00333,16BITS,1713,CHAMBER 1 CO2 ON AM/PM (1=PM),,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
683,KX_125_OFAP,KX_125_OFAP,AIV00334,16BITS,1714,CHAMBER 1 CO2  OFF AM/PM (1=PM),,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
684,KM_168_ONH,KM_168_ONH,AIV00335,16BITS,1715,CHAMBER 1 MOTHER/FLOWER LIGHTS ON HR,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
685,KM_168_OFH,KM_168_OFH,AIV00336,16BITS,1716,CHAMBER 1 MOTHER/FLOWER LIGHTS OFF HR,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
686,KM_168_ONM,KM_168_ONM,AIV00337,16BITS,1717,CHAMBER 1 MOTHER/FLOWER LIGHTS ON MIN,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
687,KM_168_OFM,KM_168_OFM,AIV00359,16BITS,1718,CHAMBER 1 MOTHER/FLOWER LIGHTS OFF MIN,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
688,KM_168_ONAP,KM_168_ONAP,AIV00360,16BITS,1719,CHAMBER 1 MOTHER/FLOWER LIGHTS ON AM/PM (1=PM),,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
689,KM_168_OFAP,KM_168_OFAP,AIV00361,16BITS,1720,CHAMBER 1 MOTHER/FLOWER LIGHTS  OFF AM/PM (1=PM),,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
544,K101_ON_SP,K101_ON_SP,AIV00338,16BITS,1721,CHAMBER 1 RECIRCULATION ON DUR (S),,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
545,K101_OFF_SP,K101_OFF_SP,AIV00339,16BITS,1722,CHAMBER 1 RECIRCULATION OFF DUR (S),,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
551,QY114_SP,QY114_SP,AIV00341,16BITS,1723,CHAMBER 1 NUTRIENT 1 SETPOINT,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
552,QY115_SP,QY115_SP,AIV00342,16BITS,1724,CHAMBER 1 NUTRIENT 2 SETPOINT,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
553,QY116_SP,QY116_SP,AIV00343,16BITS,1725,CHAMBER 1 NUTRIENT 3 SETPOINT,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
554,QY117_SP,QY117_SP,AIV00344,16BITS,1726,CHAMBER 1 NUTRIENT 4 SETPOINT,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
555,QY118_SP,QY118_SP,AIV00345,16BITS,1727,CHAMBER 1 NUTRIENT 5 SETPOINT,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
556,QY119_SP,QY119_SP,AIV00346,16BITS,1728,CHAMBER 1 NUTRIENT 6 SETPOINT,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
557,QY120_SP,QY120_SP,AIV00347,16BITS,1729,CHAMBER 1 NUTRIENT 7 SETPOINT,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
570,HS_158HOA,HS_158HOA,AIV00348,16BITS,1730,CHAMBER 1 SCHEDULE/SENSOR MOTHER HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
577,HS_159HOA,HS_159HOA,AIV00349,16BITS,1732,CHAMBER 1 SCHEDULE/SENSOR VEG HOA STATE,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
571,KV_101_FOH,KV_101_FOH,AIV00222,16BITS,1733,CHAMBER 1 VEG SCHFEED ON HR 1,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
574,KV_102_FOH,KV_102_FOH,AIV00223,16BITS,1734,CHAMBER 1 VEG SCHULE FEED ON HR  2,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
578,KV_103_FOH,KV_103_FOH,AIV00228,16BITS,1735,CHAMBER 1 VEG SCHULE FEED ON HR  3,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
579,KV_104_FOH,KV_104_FOH,AIV00229,16BITS,1736,CHAMBER 1 VEG SCHULE FEED ON HR  4,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
580,KM_101_FOH,KM_101_FOH,AIV00230,16BITS,1737,CHAMBER 1 MOTHER/FLOWER SCH FEED ON HR  1,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
581,KM_102_FOH,KM_102_FOH,AIV00231,16BITS,1738,CHAMBER 1 MOTHER/FLOWER SCH FEED ON HR  2,,False,,0,1000,1,CHAMBER 1\LOCALS,False,False,DECIMAL
